Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Plot_Path,Local_Image_Path
"Victor Masayesva, Jr.",34926,Native American,North America,1,2,Male,1951,0,Country_strip\Victor Masayesva Jr_34926.png,"country_top10_artist_images/Victor Masayesva, Jr..jpg"
Cara Romero,132372,Native American,North America,2,1,Female,1977,0,Country_strip\Cara Romero_132372.png,
Hulleah J. Tsinhnahjinnie,132407,Native American,North America,3,1,Female,1954,0,Country_strip\Hulleah J Tsinhnahjinnie_132407.png,country_top10_artist_images/Hulleah J. Tsinhnahjinnie.jpg
Simon Denny,46033,New Zealander,Oceania,1,4,Male,1982,0,Country_strip\Simon Denny_46033.png,country_top10_artist_images/Simon Denny.jpg
Dean Edgington,34309,New Zealander,Oceania,2,1,Male,1976,0,Country_strip\Dean Edgington_34309.png,country_top10_artist_images/Dean Edgington.jpg
Michael Stevenson,67641,New Zealander,Oceania,3,1,Male,1964,0,Country_strip\Michael Stevenson_67641.png,country_top10_artist_images/Michael Stevenson.jpg
Murray Broom,26932,New Zealander,Oceania,4,1,Male,1955,0,Country_strip\Murray Broom_26932.png,country_top10_artist_images/Murray Broom.jpg
Peter Jackson,37061,New Zealander,Oceania,5,1,Male,1961,0,Country_strip\Peter Jackson_37061.png,country_top10_artist_images/Peter Jackson.jpg
Reginald Orton,47076,New Zealander,Oceania,6,1,Male,1981,0,Country_strip\Reginald Orton_47076.png,
Vernon Pascoe,28076,New Zealander,Oceania,7,1,Male,1942,1999,Country_strip\Vernon Pascoe_28076.png,
Armando Morales Sequeira,4078,Nicaraguan,North America,1,1,Male,1927,2011,Country_strip\Armando Morales Sequeira_4078.png,
Uche Okeke,47956,Nigerian,Africa,1,6,Male,1933,2016,Country_strip\Uche Okeke_47956.png,
J.D. 'Okhai Ojeikere,44110,Nigerian,Africa,2,3,Male,1930,2014,Country_strip\JD Okhai Ojeikere_44110.png,
Ghariokwu Lemi,28692,Nigerian,Africa,3,1,Male,1955,0,Country_strip\Ghariokwu Lemi_28692.png,country_top10_artist_images/Ghariokwu Lemi.jpg
Edvard Munch,4164,Norwegian,Europe,1,67,Male,1863,1944,Country_strip\Edvard Munch_4164.png,country_top10_artist_images/Edvard Munch.jpg
Rolf Nesch,4266,Norwegian,Europe,2,9,Male,1893,1975,Country_strip\Rolf Nesch_4266.png,
Torbjørn Rødland,46381,Norwegian,Europe,3,3,Male,1970,0,Country_strip\Torbjørn Rødland_46381.png,
Vibeke Tandberg,42752,Norwegian,Europe,4,3,Female,1967,0,Country_strip\Vibeke Tandberg_42752.png,
Einar Hareide,28478,Norwegian,Europe,5,2,Male,1959,0,Country_strip\Einar Hareide_28478.png,
Olav Christopher Jenssen,32568,Norwegian,Europe,6,2,Male,1954,0,Country_strip\Olav Christopher Jenssen_32568.png,
Aleksander Borgenhov,37940,Norwegian,Europe,7,1,Male,1971,0,Country_strip\Aleksander Borgenhov_37940.png,
Christian Leborg,7047,Norwegian,Europe,8,1,Male,1966,0,Country_strip\Christian Leborg_7047.png,
Dag Alveng,136,Norwegian,Europe,9,1,Male,1953,0,Country_strip\Dag Alveng_136.png,
Gardar Eide Einarsson,42464,Norwegian,Europe,10,1,Male,1976,0,Country_strip\Gardar Eide Einarsson_42464.png,
Shahzia Sikander,8197,Pakistani,Asia,1,18,Female,1969,0,Country_strip\Shahzia Sikander_8197.png,
Bani Abidi,35392,Pakistani,Asia,2,14,Female,1971,0,Country_strip\Bani Abidi_35392.png,
Seher Shah,35282,Pakistani,Asia,3,2,Female,1975,0,Country_strip\Seher Shah_35282.png,
Rasheed Araeen,74933,Pakistani,Asia,4,1,Male,1935,0,Country_strip\Rasheed Araeen_74933.png,country_top10_artist_images/Rasheed Araeen.jpg
Basel Abbas,49569,Palestinian,Asia,1,6,Male,1983,0,Country_strip\Basel Abbas_49569.png,country_top10_artist_images/Basel Abbas.jpg
Ruanne Abou-Rahme,49570,Palestinian,Asia,2,6,Female,1983,0,Country_strip\Ruanne AbouRahme_49570.png,country_top10_artist_images/Ruanne Abou-Rahme.jpg
Elia Suleiman,42110,Palestinian,Asia,3,1,Male,1960,0,Country_strip\Elia Suleiman_42110.png,country_top10_artist_images/Elia Suleiman.jpg
Jumana Manna,49222,Palestinian,Asia,4,1,Female,1987,0,Country_strip\Jumana Manna_49222.png,
Alberto Dutary,1663,Panamanian,North America,1,2,Male,1932,1998,Country_strip\Alberto Dutary_1663.png,
Julio Augusto Zachrisson,6531,Panamanian,North America,2,2,Male,1930,0,Country_strip\Julio Augusto Zachrisson_6531.png,
Fernando Grillón,6793,Paraguayan,South America,1,2,Male,1931,0,Country_strip\Fernando Grillón_6793.png,country_top10_artist_images/Fernando Grillón.jpg
Martín Chambi,1063,Peruvian,South America,1,30,Male,1891,1973,Country_strip\Martín Chambi_1063.png,country_top10_artist_images/Martín Chambi.jpg
Armando Andrade Tudela,39487,Peruvian,South America,2,3,Male,1975,0,Country_strip\Armando Andrade Tudela_39487.png,
Edi Hirose,44774,Peruvian,South America,3,3,Male,1975,0,Country_strip\Edi Hirose_44774.png,
Gilda Mantilla,35082,Peruvian,South America,4,3,Female,1967,0,Country_strip\Gilda Mantilla_35082.png,
Fernando Bryce,26155,Peruvian,South America,5,2,Male,1965,0,Country_strip\Fernando Bryce_26155.png,
Fernando Szyszlo,5766,Peruvian,South America,6,2,Male,1925,0,Country_strip\Fernando Szyszlo_5766.png,
Frederick Cooper Llosa,44956,Peruvian,South America,7,2,Male,1939,0,Country_strip\Frederick Cooper Llosa_44956.png,
José Sabogal,5106,Peruvian,South America,8,2,Male,1888,1956,Country_strip\José Sabogal_5106.png,country_top10_artist_images/José Sabogal.jpg
Miguel Rodrigo Mazuré,44954,Peruvian,South America,9,2,Male,1926,2014,Country_strip\Miguel Rodrigo Mazuré_44954.png,
Sandra Gamarra,32909,Peruvian,South America,10,2,Female,1972,0,Country_strip\Sandra Gamarra_32909.png,country_top10_artist_images/Sandra Gamarra.jpg
Louis Marcoussis,3757,Polish,Europe,1,46,Male,1883,1941,Country_strip\Louis Marcoussis_3757.png,country_top10_artist_images/Louis Marcoussis.jpg
Franciszek Starowieyski,5607,Polish,Europe,2,38,Male,1930,2009,Country_strip\Franciszek Starowieyski_5607.png,country_top10_artist_images/Franciszek Starowieyski.jpg
Jan Lenica,3480,Polish,Europe,3,20,Male,1928,2001,Country_strip\Jan Lenica_3480.png,country_top10_artist_images/Jan Lenica.jpg
Wladyslaw Strzemiński,5700,Polish,Europe,4,12,Male,1893,1952,Country_strip\Wladyslaw Strzemiński_5700.png,country_top10_artist_images/Wladyslaw Strzemiński.jpg
Edward Krasiński,37440,Polish,Europe,5,10,Male,1925,2004,Country_strip\Edward Krasiński_37440.png,
Henryk Tomaszewski,5894,Polish,Europe,6,10,Male,1914,2005,Country_strip\Henryk Tomaszewski_5894.png,
Jan Sawka,5189,Polish,Europe,7,10,Male,1946,2012,Country_strip\Jan Sawka_5189.png,
Paulina Olowska,28742,Polish,Europe,8,10,Female,1976,0,Country_strip\Paulina Olowska_28742.png,country_top10_artist_images/Paulina Olowska.jpg
Henryk Berlewi,501,Polish,Europe,9,8,Male,1894,1967,Country_strip\Henryk Berlewi_501.png,country_top10_artist_images/Henryk Berlewi.jpg
Andrzej Pagowski,4468,Polish,Europe,10,7,Male,1953,0,Country_strip\Andrzej Pagowski_4468.png,country_top10_artist_images/Andrzej Pagowski.jpg
René Bertholo,527,Portuguese,Europe,1,6,Male,1935,2005,Country_strip\René Bertholo_527.png,
Álvaro Siza,29732,Portuguese,Europe,2,5,Male,1933,0,Country_strip\Álvaro Siza_29732.png,country_top10_artist_images/Álvaro Siza.jpg
Julião Sarmento,7534,Portuguese,Europe,3,3,Male,1948,0,Country_strip\Julião Sarmento_7534.png,country_top10_artist_images/Julião Sarmento.jpg
Susana Soares,33004,Portuguese,Europe,4,3,Female,1977,0,Country_strip\Susana Soares_33004.png,
Fernando Guerra,46421,Portuguese,Europe,5,2,Male,1970,0,Country_strip\Fernando Guerra_46421.png,
Pedro Costa,43535,Portuguese,Europe,6,2,Male,1958,0,Country_strip\Pedro Costa_43535.png,country_top10_artist_images/Pedro Costa.jpg
Carlos Bunga,42485,Portuguese,Europe,7,1,Male,1976,0,Country_strip\Carlos Bunga_42485.png,
João Bizarro Da Nave Filho,49600,Portuguese,Europe,8,1,Male,1908,0,Country_strip\João Bizarro Da Nave Filho_49600.png,
Miguel Gomes,43534,Portuguese,Europe,9,1,Male,1972,0,Country_strip\Miguel Gomes_43534.png,
Victor Brauner,751,Romanian,Europe,1,11,Male,1903,1966,Country_strip\Victor Brauner_751.png,country_top10_artist_images/Victor Brauner.jpg
Geta Brătescu,43150,Romanian,Europe,2,9,Female,1926,2018,Country_strip\Geta Brătescu_43150.png,
Pic Adrian,72,Romanian,Europe,3,7,Male,1910,0,Country_strip\Pic Adrian_72.png,
Avigdor Arikha,216,Romanian,Europe,4,4,Male,1929,2010,Country_strip\Avigdor Arikha_216.png,country_top10_artist_images/Avigdor Arikha.jpg
Dan Perjovschi,29430,Romanian,Europe,5,3,Male,1961,0,Country_strip\Dan Perjovschi_29430.png,country_top10_artist_images/Dan Perjovschi.jpg
Ion Grigorescu,39193,Romanian,Europe,6,3,Male,1945,0,Country_strip\Ion Grigorescu_39193.png,
Adrian Ghenie,68023,Romanian,Europe,7,2,Male,1977,0,Country_strip\Adrian Ghenie_68023.png,country_top10_artist_images/Adrian Ghenie.jpg
Ion Bitzan,580,Romanian,Europe,8,2,Male,1924,1997,Country_strip\Ion Bitzan_580.png,
Marcel Chirnoaga,1107,Romanian,Europe,9,2,Male,1930,2008,Country_strip\Marcel Chirnoaga_1107.png,
Mircea Cantor,30879,Romanian,Europe,10,2,Male,1977,0,Country_strip\Mircea Cantor_30879.png,
Aleksandr Rodchenko,4975,Russian,Europe,1,178,Male,1891,1956,Country_strip\Aleksandr Rodchenko_4975.png,country_top10_artist_images/Aleksandr Rodchenko.jpg
Olga Rozanova,5066,Russian,Europe,2,161,Female,1886,1918,Country_strip\Olga Rozanova_5066.png,country_top10_artist_images/Olga Rozanova.jpg
Natalia Goncharova,2229,Russian,Europe,3,138,Female,1881,1962,Country_strip\Natalia Goncharova_2229.png,country_top10_artist_images/Natalia Goncharova.jpg
Anatoli Lvovich Kaplan,2991,Russian,Europe,4,120,Male,1902,1980,Country_strip\Anatoli Lvovich Kaplan_2991.png,
El Lissitzky,3569,Russian,Europe,5,106,Male,1890,1941,Country_strip\El Lissitzky_3569.png,country_top10_artist_images/El Lissitzky.jpg
Kazimir Malevich,3710,Russian,Europe,6,83,Male,1878,1935,Country_strip\Kazimir Malevich_3710.png,country_top10_artist_images/Kazimir Malevich.jpg
Mikhail Larionov,3389,Russian,Europe,7,69,Male,1881,1964,Country_strip\Mikhail Larionov_3389.png,country_top10_artist_images/Mikhail Larionov.jpg
Aleksei Kruchenykh,3263,Russian,Europe,8,48,Male,1886,1969,Country_strip\Aleksei Kruchenykh_3263.png,country_top10_artist_images/Aleksei Kruchenykh.jpg
Varvara Stepanova,5643,Russian,Europe,9,44,Female,1894,1958,Country_strip\Varvara Stepanova_5643.png,country_top10_artist_images/Varvara Stepanova.jpg
Nikolai Kul'bin,12171,Russian,Europe,10,35,Male,1868,1917,Country_strip\Nikolai Kulbin_12171.png,
Guadalupe Maravilla,131948,Salvadoran,North America,1,2,Male,1976,0,Country_strip\Guadalupe Maravilla_131948.png,
Douglas Gordon,7805,Scottish,Europe,1,20,Male,1966,0,Country_strip\Douglas Gordon_7805.png,country_top10_artist_images/Douglas Gordon.jpg
Jim Lambie,22939,Scottish,Europe,2,5,Male,1964,0,Country_strip\Jim Lambie_22939.png,
Donald Urquhart,28839,Scottish,Europe,3,3,Male,1963,0,Country_strip\Donald Urquhart_28839.png,
Martin Boyce,42340,Scottish,Europe,4,2,Male,1967,0,Country_strip\Martin Boyce_42340.png,
Sally Osborn,28746,Scottish,Europe,5,2,Female,1961,0,Country_strip\Sally Osborn_28746.png,
Armando Iannucci,37798,Scottish,Europe,6,1,Male,1963,0,Country_strip\Armando Iannucci_37798.png,country_top10_artist_images/Armando Iannucci.jpg
Elsa Stansfield,35564,Scottish,Europe,7,1,Female,1945,2004,Country_strip\Elsa Stansfield_35564.png,country_top10_artist_images/Elsa Stansfield.jpg
Geoffrey Mann,33837,Scottish,Europe,8,1,Male,1980,0,Country_strip\Geoffrey Mann_33837.png,country_top10_artist_images/Geoffrey Mann.jpg
Hayley Tompkins,28836,Scottish,Europe,9,1,Female,1971,0,Country_strip\Hayley Tompkins_28836.png,
Hill Jephson Robb,27879,Scottish,Europe,10,1,Male,1970,0,Country_strip\Hill Jephson Robb_27879.png,
Moustapha Dimé,7390,Senegalese,Africa,1,1,Male,1952,1998,Country_strip\Moustapha Dimé_7390.png,
Ousmane Sembène,41512,Senegalese,Africa,2,1,Male,1923,2007,Country_strip\Ousmane Sembène_41512.png,country_top10_artist_images/Ousmane Sembène.jpg
Dargoljub Pavlov,49541,Serbian,Europe,1,8,Male,1940,0,Country_strip\Dargoljub Pavlov_49541.png,
Bogdan Bogdanović,67233,Serbian,Europe,2,3,Male,1922,2010,Country_strip\Bogdan Bogdanović_67233.png,
Aleksandar Stjepanović,68050,Serbian,Europe,3,2,Male,1931,0,Country_strip\Aleksandar Stjepanović_68050.png,
Božidar Janković,68051,Serbian,Europe,4,2,Male,1931,0,Country_strip\Božidar Janković_68051.png,country_top10_artist_images/Božidar Janković.jpg
Branislav Karadžić,68052,Serbian,Europe,5,2,Male,1929,2007,Country_strip\Branislav Karadžić_68052.png,
Darko Marušić,68163,Serbian,Europe,6,1,Male,1940,0,Country_strip\Darko Marušić_68163.png,country_top10_artist_images/Darko Marušić.jpg
Dejan Grba,30925,Serbian,Europe,7,1,Male,1967,0,Country_strip\Dejan Grba_30925.png,country_top10_artist_images/Dejan Grba.jpg
Goran Paskaljević,115004,Serbian,Europe,8,1,Male,1947,0,Country_strip\Goran Paskaljević_115004.png,country_top10_artist_images/Goran Paskaljević.jpg
Milenija Marušić,68164,Serbian,Europe,9,1,Female,1940,0,Country_strip\Milenija Marušić_68164.png,
Vladan Joler,132163,Serbian,Europe,10,1,Male,1977,0,Country_strip\Vladan Joler_132163.png,country_top10_artist_images/Vladan Joler.jpg
Abu Bakarr Mansaray,75466,Sierra Leonean,Africa,1,1,Male,1970,0,Country_strip\Abu Bakarr Mansaray_75466.png,
Ming Wong,131860,Singaporean,Asia,1,1,Male,1971,0,Country_strip\Ming Wong_131860.png,country_top10_artist_images/Ming Wong.jpg
Zuzana Licko,30188,Slovak,Europe,1,70,Female,1961,0,Country_strip\Zuzana Licko_30188.png,
Roman Ondak,31335,Slovak,Europe,2,2,Male,1966,0,Country_strip\Roman Ondak_31335.png,country_top10_artist_images/Roman Ondak.jpg
Julius Koller,31342,Slovak,Europe,3,1,Male,1939,2007,Country_strip\Julius Koller_31342.png,
Tomáš Gabzdil Libertíny,33112,Slovak,Europe,4,1,Male,1979,0,Country_strip\Tomáš Gabzdil Libertíny_33112.png,
Zoran Mušič,4189,Slovenian,Europe,1,8,Male,1909,2005,Country_strip\Zoran Mušič_4189.png,country_top10_artist_images/Zoran Mušič.jpg
Marko Mušič,49950,Slovenian,Europe,2,2,Male,1941,0,Country_strip\Marko Mušič_49950.png,country_top10_artist_images/Marko Mušič.jpg
Marko Turk,5974,Slovenian,Europe,3,2,Male,1920,1999,Country_strip\Marko Turk_5974.png,
Niko Kralj,50084,Slovenian,Europe,4,2,Male,1920,2013,Country_strip\Niko Kralj_50084.png,
Tobias Putrih,28769,Slovenian,Europe,5,2,Male,1972,0,Country_strip\Tobias Putrih_28769.png,
Davorin Savnik,38326,Slovenian,Europe,6,1,Male,1929,2014,Country_strip\Davorin Savnik_38326.png,
Marjetica Potrč,28766,Slovenian,Europe,7,1,Female,1953,0,Country_strip\Marjetica Potrč_28766.png,country_top10_artist_images/Marjetica Potrč.jpg
William Kentridge,7919,South African,Africa,1,77,Male,1955,0,Country_strip\William Kentridge_7919.png,country_top10_artist_images/William Kentridge.jpg
David Goldblatt,2214,South African,Africa,2,48,Male,1930,2018,Country_strip\David Goldblatt_2214.png,
Diane Victor,28199,South African,Africa,3,18,Female,1964,0,Country_strip\Diane Victor_28199.png,country_top10_artist_images/Diane Victor.jpg
Marlene Dumas,7521,South African,Africa,4,16,Female,1953,0,Country_strip\Marlene Dumas_7521.png,country_top10_artist_images/Marlene Dumas.jpg
Claudette Schreuders,28218,South African,Africa,5,11,Female,1973,0,Country_strip\Claudette Schreuders_28218.png,
Mikhael Subotzky,30365,South African,Africa,6,8,Male,1981,0,Country_strip\Mikhael Subotzky_30365.png,
Guy Tillim,30156,South African,Africa,7,7,Male,1962,0,Country_strip\Guy Tillim_30156.png,
Norman Catherine,28197,South African,Africa,8,6,Male,1949,0,Country_strip\Norman Catherine_28197.png,
Vuyile Voyiya,33760,South African,Africa,9,6,Male,1961,0,Country_strip\Vuyile Voyiya_33760.png,
Zanele Muholi,42455,South African,Africa,10,6,Female,1972,0,Country_strip\Zanele Muholi_42455.png,country_top10_artist_images/Zanele Muholi.jpg
Pablo Picasso,4609,Spanish,Europe,1,1132,Male,1881,1973,Country_strip\Pablo Picasso_4609.png,country_top10_artist_images/Pablo Picasso.jpg
Joan Miró,4016,Spanish,Europe,2,429,Male,1893,1983,Country_strip\Joan Miró_4016.png,country_top10_artist_images/Joan Miró.jpg
Francisco de Goya,2274,Spanish,Europe,3,180,Male,1746,1828,Country_strip\Francisco de Goya_2274.png,country_top10_artist_images/Francisco de Goya.jpg
Antoni Tàpies,5809,Spanish,Europe,4,161,Male,1923,2012,Country_strip\Antoni Tàpies_5809.png,country_top10_artist_images/Antoni Tàpies.jpg
Antonio Saura,5181,Spanish,Europe,5,116,Male,1930,1998,Country_strip\Antonio Saura_5181.png,
Salvador Dalí,1364,Spanish,Europe,6,82,Male,1904,1989,Country_strip\Salvador Dalí_1364.png,country_top10_artist_images/Salvador Dalí.jpg
Juan Gris,2349,Spanish,Europe,7,55,Male,1887,1927,Country_strip\Juan Gris_2349.png,country_top10_artist_images/Juan Gris.jpg
Juan Hidalgo,6972,Spanish,Europe,8,54,Male,1927,0,Country_strip\Juan Hidalgo_6972.png,
Rafael Canogar,952,Spanish,Europe,9,30,Male,1935,0,Country_strip\Rafael Canogar_952.png,
Eduardo Chillida,1104,Spanish,Europe,10,29,Male,1924,2002,Country_strip\Eduardo Chillida_1104.png,country_top10_artist_images/Eduardo Chillida.jpg
Ibrahim El-Salahi,5121,Sudanese,Africa,1,9,Male,1930,0,Country_strip\Ibrahim ElSalahi_5121.png,
Öyvind Fahlström,1790,Swedish,Europe,1,23,Male,1928,1976,Country_strip\Öyvind Fahlström_1790.png,country_top10_artist_images/Öyvind Fahlström.jpg
Peter Freudenthal,1995,Swedish,Europe,2,18,Male,1938,0,Country_strip\Peter Freudenthal_1995.png,
Birgit Skiöld,5462,Swedish,Europe,3,10,Female,1923,1982,Country_strip\Birgit Skiöld_5462.png,
Sven-Eric Juhlin,2950,Swedish,Europe,4,10,Male,1940,0,Country_strip\SvenEric Juhlin_2950.png,
Maria Benktzon,6935,Swedish,Europe,5,9,Female,1946,0,Country_strip\Maria Benktzon_6935.png,
Jockum Nordström,8452,Swedish,Europe,6,7,Male,1963,0,Country_strip\Jockum Nordström_8452.png,country_top10_artist_images/Jockum Nordström.jpg
Erik Gunnar Asplund,27,Swedish,Europe,7,6,Male,1885,1940,Country_strip\Erik Gunnar Asplund_27.png,country_top10_artist_images/Erik Gunnar Asplund.jpg
Bruno Mathsson,3830,Swedish,Europe,8,5,Male,1907,1988,Country_strip\Bruno Mathsson_3830.png,country_top10_artist_images/Bruno Mathsson.jpg
Jan Forsberg,1945,Swedish,Europe,9,5,Male,1932,0,Country_strip\Jan Forsberg_1945.png,country_top10_artist_images/Jan Forsberg.jpg
Klara Liden,35986,Swedish,Europe,10,5,Female,1979,0,Country_strip\Klara Liden_35986.png,
Dieter Roth,5042,Swiss,Europe,1,143,Male,1930,1998,Country_strip\Dieter Roth_5042.png,country_top10_artist_images/Dieter Roth.jpg
Roman Signer,7824,Swiss,Europe,2,98,Male,1938,0,Country_strip\Roman Signer_7824.png,
Alberto Giacometti,2141,Swiss,Europe,3,95,Male,1901,1966,Country_strip\Alberto Giacometti_2141.png,country_top10_artist_images/Alberto Giacometti.jpg
Hans Erni,1750,Swiss,Europe,4,81,Male,1909,2015,Country_strip\Hans Erni_1750.png,country_top10_artist_images/Hans Erni.jpg
Gottfried Honegger,2719,Swiss,Europe,5,45,Male,1917,2016,Country_strip\Gottfried Honegger_2719.png,country_top10_artist_images/Gottfried Honegger.jpg
Bernhard Luginbühl,6976,Swiss,Europe,6,39,Male,1929,2011,Country_strip\Bernhard Luginbühl_6976.png,
Max Bill,559,Swiss,Europe,7,39,Male,1908,1994,Country_strip\Max Bill_559.png,country_top10_artist_images/Max Bill.jpg
Daniel Spoerri,5569,Swiss,Europe,8,34,Male,1930,0,Country_strip\Daniel Spoerri_5569.png,country_top10_artist_images/Daniel Spoerri.jpg
Thomas Hirschhorn,8276,Swiss,Europe,9,33,Male,1957,0,Country_strip\Thomas Hirschhorn_8276.png,country_top10_artist_images/Thomas Hirschhorn.jpg
Jan Tschichold,5951,Swiss,Europe,10,31,Male,1902,1974,Country_strip\Jan Tschichold_5951.png,country_top10_artist_images/Jan Tschichold.jpg
Charlene Liu,28693,Taiwanese,Asia,1,2,Female,1975,0,Country_strip\Charlene Liu_28693.png,
Li-Fa Shaih,5368,Taiwanese,Asia,2,1,Male,1938,0,Country_strip\LiFa Shaih_5368.png,
Shu Lea Cheang,34804,Taiwanese,Asia,3,1,Female,1954,0,Country_strip\Shu Lea Cheang_34804.png,country_top10_artist_images/Shu Lea Cheang.jpg
Sam Joseph Ntiro,4345,Tanzanian,Africa,1,1,Male,1923,1993,Country_strip\Sam Joseph Ntiro_4345.png,
Rirkrit Tiravanija,7479,Thai,Asia,1,25,Male,1961,0,Country_strip\Rirkrit Tiravanija_7479.png,
Apichatpong Weerasethakul,42736,Thai,Asia,2,5,Male,1970,0,Country_strip\Apichatpong Weerasethakul_42736.png,country_top10_artist_images/Apichatpong Weerasethakul.jpg
Navin Rawanchaikul,31016,Thai,Asia,3,1,Male,1971,0,Country_strip\Navin Rawanchaikul_31016.png,
Hüseyin Bahri Alptekin,30848,Turkish,Asia,1,8,Male,1957,2007,Country_strip\Hüseyin Bahri Alptekin_30848.png,
Burhan Dogancay,1569,Turkish,Asia,2,3,Male,1929,2013,Country_strip\Burhan Dogancay_1569.png,country_top10_artist_images/Burhan Dogancay.jpg
Aslı Çavuşoğlu,49614,Turkish,Asia,3,2,Female,1982,0,Country_strip\Aslı Çavuşoğlu_49614.png,
Halil Altindere,44653,Turkish,Asia,4,2,Male,1971,0,Country_strip\Halil Altindere_44653.png,
Ali Gedik,30912,Turkish,Asia,5,1,Male,1972,0,Country_strip\Ali Gedik_30912.png,
Ayse Birsel,22568,Turkish,Asia,6,1,Female,1964,0,Country_strip\Ayse Birsel_22568.png,
Bedri Rahmi,4790,Turkish,Asia,7,1,Male,1913,1975,Country_strip\Bedri Rahmi_4790.png,country_top10_artist_images/Bedri Rahmi.jpg
Cengiz Çekil,38946,Turkish,Asia,8,1,Male,1945,2015,Country_strip\Cengiz Çekil_38946.png,
Erol (Erol Akyavas),1753,Turkish,Asia,9,1,Male,1932,1999,Country_strip\Erol Erol Akyavas_1753.png,
Fatih Aydogdu,30857,Turkish,Asia,10,1,Female,1963,0,Country_strip\Fatih Aydogdu_30857.png,
Kanuge John Bosco,38188,Ugandan,Africa,1,1,Male,1968,0,Country_strip\Kanuge John Bosco_38188.png,
David Burliuk,877,Ukrainian,Europe,1,24,Male,1882,1967,Country_strip\David Burliuk_877.png,country_top10_artist_images/David Burliuk.jpg
Vladimir Burliuk,12001,Ukrainian,Europe,2,22,Male,1886,1917,Country_strip\Vladimir Burliuk_12001.png,country_top10_artist_images/Vladimir Burliuk.jpg
Anatol' Petryts'kyi,24211,Ukrainian,Europe,3,6,Male,1895,1964,Country_strip\Anatol Petrytskyi_24211.png,
Alexander Dovzhenko,32230,Ukrainian,Europe,4,2,Male,1894,1956,Country_strip\Alexander Dovzhenko_32230.png,country_top10_artist_images/Alexander Dovzhenko.jpg
Peter Weibel,31069,Ukrainian,Europe,5,2,Male,1944,0,Country_strip\Peter Weibel_31069.png,country_top10_artist_images/Peter Weibel.jpg
Alexander Roitburd,35448,Ukrainian,Europe,6,1,Male,1961,0,Country_strip\Alexander Roitburd_35448.png,
Boris Mikhailov,8168,Ukrainian,Europe,7,1,Male,1938,0,Country_strip\Boris Mikhailov_8168.png,
Mane-Katz,23522,Ukrainian,Europe,8,1,Male,1894,1962,Country_strip\ManeKatz_23522.png,country_top10_artist_images/Mane-Katz.jpg
Mykhailo Semenko,23842,Ukrainian,Europe,9,1,Male,1892,1937,Country_strip\Mykhailo Semenko_23842.png,
Vasyl Krychevsky,3248,Ukrainian,Europe,10,1,Male,1927,0,Country_strip\Vasyl Krychevsky_3248.png,country_top10_artist_images/Vasyl Krychevsky.jpg
Luis Camnitzer,934,Uruguayan,South America,1,39,Male,1937,0,Country_strip\Luis Camnitzer_934.png,
Joaquín Torres-García,5907,Uruguayan,South America,2,10,Male,1874,1949,Country_strip\Joaquín TorresGarcía_5907.png,country_top10_artist_images/Joaquín Torres-García.jpg
Marco Maggi,26382,Uruguayan,South America,3,6,Male,1957,0,Country_strip\Marco Maggi_26382.png,country_top10_artist_images/Marco Maggi.jpg
Luis Alberto Solari,5512,Uruguayan,South America,4,3,Male,1918,1993,Country_strip\Luis Alberto Solari_5512.png,country_top10_artist_images/Luis Alberto Solari.jpg
Alejandro Cesarco,67946,Uruguayan,South America,5,2,Male,1975,0,Country_strip\Alejandro Cesarco_67946.png,
Gustavo Lazarini Terradas,3423,Uruguayan,South America,6,2,Male,1918,1987,Country_strip\Gustavo Lazarini Terradas_3423.png,
Arturo Villaamil,44876,Uruguayan,South America,7,1,Male,1947,0,Country_strip\Arturo Villaamil_44876.png,
Carmelo Arden Quin,68088,Uruguayan,South America,8,1,Male,1913,2010,Country_strip\Carmelo Arden Quin_68088.png,country_top10_artist_images/Carmelo Arden Quin.jpg
Eladio Dieste,44844,Uruguayan,South America,9,1,Male,1917,2000,Country_strip\Eladio Dieste_44844.png,country_top10_artist_images/Eladio Dieste.jpg
Enrique Aguerre,35504,Uruguayan,South America,10,1,Male,1964,0,Country_strip\Enrique Aguerre_35504.png,country_top10_artist_images/Enrique Aguerre.jpg
Gego (Gertrud Goldschmidt),2107,Venezuelan,South America,1,33,Female,1912,1994,Country_strip\Gego Gertrud Goldschmidt_2107.png,country_top10_artist_images/Gego (Gertrud Goldschmidt).jpg
Marisol (Marisol Escobar),3774,Venezuelan,South America,2,26,Female,1930,2016,Country_strip\Marisol Marisol Escobar_3774.png,country_top10_artist_images/Marisol (Marisol Escobar).jpg
Gerd Leufert,3502,Venezuelan,South America,3,25,Male,1914,1998,Country_strip\Gerd Leufert_3502.png,
Alejandro Otero,4445,Venezuelan,South America,4,24,Male,1921,1990,Country_strip\Alejandro Otero_4445.png,
Luisa Zuloaga de Palacios,4471,Venezuelan,South America,5,14,Female,1923,1990,Country_strip\Luisa Zuloaga de Palacios_4471.png,
Alfredo Cortina,44727,Venezuelan,South America,6,13,Male,1903,1988,Country_strip\Alfredo Cortina_44727.png,
Jesús Rafael Soto,5535,Venezuelan,South America,7,11,Male,1923,2005,Country_strip\Jesús Rafael Soto_5535.png,country_top10_artist_images/Jesús Rafael Soto.jpg
Paolo Gasparini,2088,Venezuelan,South America,8,10,Male,1934,0,Country_strip\Paolo Gasparini_2088.png,
